,date,share_price,oil_price,year,name,share_price_scaled
131,28-01-2000,9.362744,26.59,2000,REP.MC,0.338241244
132,28-01-2000,15.382072,26.59,2000,ENGI.PA,0.508225695
133,31-01-2000,254.780594,27.08,2000,BP.L,0.230276624
134,31-01-2000,16.093,27.08,2000,CNE.L,0.00696429
135,31-01-2000,27.347178,27.08,2000,PMO.L,0.016696046
136,31-01-2000,36.793385,27.08,2000,STL.OL,0.058281505
137,31-01-2000,7.831041,27.08,2000,FP.PA,0.011563805
138,31-01-2000,9.290725,27.08,2000,REP.MC,0.332333458
139,31-01-2000,14.966068,27.08,2000,ENGI.PA,0.488860308
140,01-02-2000,255.717209,27.35,2000,BP.L,0.233199294
141,01-02-2000,14.215,27.35,2000,CNE.L,0.003055462
142,01-02-2000,27.347178,27.35,2000,PMO.L,0.016696046
143,01-02-2000,36.962162,27.35,2000,STL.OL,0.059546191
144,01-02-2000,7.97264,27.35,2000,FP.PA,0.015017956
145,01-02-2000,9.425161,27.35,2000,REP.MC,0.343361368
146,01-02-2000,15.311046,27.35,2000,ENGI.PA,0.504919366
147,02-02-2000,256.654053,27.15,2000,BP.L,0.236122678
148,02-02-2000,15.887,27.15,2000,CNE.L,0.006535526
149,02-02-2000,27.347178,27.15,2000,PMO.L,0.016696046
150,02-02-2000,37.749798,27.15,2000,STL.OL,0.065448135
151,02-02-2000,8.280466,27.15,2000,FP.PA,0.022527032
152,02-02-2000,9.602814,27.15,2000,REP.MC,0.357934409
153,02-02-2000,16.964924,27.15,2000,ENGI.PA,0.581908982
154,03-02-2000,246.116211,27.6,2000,BP.L,0.203239764
155,03-02-2000,16.927,27.6,2000,CNE.L,0.008700159
156,03-02-2000,26.752569,27.6,2000,PMO.L,0.015506707
157,03-02-2000,38.143608,27.6,2000,STL.OL,0.068399047
158,03-02-2000,8.231211,27.6,2000,FP.PA,0.02132551
159,03-02-2000,9.602814,27.6,2000,REP.MC,0.357934409
160,03-02-2000,17.75635,27.6,2000,ENGI.PA,0.618750626
161,04-02-2000,235.812607,27.48,2000,BP.L,0.17108778
162,04-02-2000,13.603,27.48,2000,CNE.L,0.001781659
163,04-02-2000,26.752569,27.48,2000,PMO.L,0.015506707
164,04-02-2000,37.468491,27.48,2000,STL.OL,0.063340235
165,04-02-2000,8.323561,27.48,2000,FP.PA,0.023578287
166,04-02-2000,9.636422,27.48,2000,REP.MC,0.360691304
167,04-02-2000,17.553417,27.48,2000,ENGI.PA,0.609303899
168,07-02-2000,233.23671,27.94,2000,BP.L,0.163049797
169,07-02-2000,13.053,27.94,2000,CNE.L,0.000636902
170,07-02-2000,25.762199,27.94,2000,PMO.L,0.013525767
171,07-02-2000,36.793385,27.94,2000,STL.OL,0.058281505
172,07-02-2000,8.323561,27.94,2000,FP.PA,0.023578287
173,07-02-2000,9.540395,27.94,2000,REP.MC,0.35281412
174,07-02-2000,17.533131,27.94,2000,ENGI.PA,0.608359566
175,08-02-2000,232.065842,27.61,2000,BP.L,0.15939615
176,08-02-2000,23.032,27.61,2000,CNE.L,0.02140697
177,08-02-2000,25.365469,27.61,2000,PMO.L,0.012732226
178,08-02-2000,37.130936,27.61,2000,STL.OL,0.060810855
179,08-02-2000,8.711419,27.61,2000,FP.PA,0.033039654
180,08-02-2000,10.015736,27.61,2000,REP.MC,0.391806784
181,08-02-2000,17.502687,27.61,2000,ENGI.PA,0.606942369
182,09-02-2000,218.249588,27.44,2000,BP.L,0.116283082
183,09-02-2000,12.747,27.44,2000,CNE.L,0.0
184,09-02-2000,24.375101,27.44,2000,PMO.L,0.01075129
185,09-02-2000,36.118279,27.44,2000,STL.OL,0.053222775
186,09-02-2000,9.056183,27.44,2000,FP.PA,0.041449792
187,09-02-2000,10.255806,27.44,2000,REP.MC,0.411499949
188,09-02-2000,17.066385,27.44,2000,ENGI.PA,0.58663209
189,10-02-2000,228.319061,27.32,2000,BP.L,0.14770447
190,10-02-2000,26.636999,27.32,2000,CNE.L,0.028910334
191,10-02-2000,24.375101,27.32,2000,PMO.L,0.01075129
192,10-02-2000,35.949497,27.32,2000,STL.OL,0.051958052
193,10-02-2000,8.680634,27.32,2000,FP.PA,0.032288688
194,10-02-2000,10.010934,27.32,2000,REP.MC,0.391412871
195,10-02-2000,17.046091,27.32,2000,ENGI.PA,0.585687385
196,11-02-2000,224.57222,27.82,2000,BP.L,0.136012602
197,11-02-2000,27.75,27.82,2000,CNE.L,0.03122691
198,11-02-2000,24.770861,27.82,2000,PMO.L,0.01154289
199,11-02-2000,35.89323,27.82,2000,STL.OL,0.05153643
200,11-02-2000,8.428222,27.82,2000,FP.PA,0.026131376
201,11-02-2000,10.03494,27.82,2000,REP.MC,0.393382106
202,11-02-2000,17.249025,27.82,2000,ENGI.PA,0.595134158
203,14-02-2000,225.509033,28.03,2000,BP.L,0.13893589
204,14-02-2000,13.113,28.03,2000,CNE.L,0.000761784
205,14-02-2000,24.770861,28.03,2000,PMO.L,0.01154289
206,14-02-2000,36.455833,28.03,2000,STL.OL,0.055752148
207,14-02-2000,8.378968,28.03,2000,FP.PA,0.024929879
208,14-02-2000,9.650829,28.03,2000,REP.MC,0.361873124
209,14-02-2000,17.147558,28.03,2000,ENGI.PA,0.590410771
210,15-02-2000,221.996353,28.12,2000,BP.L,0.127974713
211,15-02-2000,12.972,28.12,2000,CNE.L,0.00046831
212,15-02-2000,24.375101,28.12,2000,PMO.L,0.01075129
213,15-02-2000,37.018417,28.12,2000,STL.OL,0.059967723
214,15-02-2000,8.557506,28.12,2000,FP.PA,0.029285117
215,15-02-2000,9.866891,28.12,2000,REP.MC,0.37959689
216,15-02-2000,16.924339,28.12,2000,ENGI.PA,0.580019712
217,16-02-2000,239.091064,28.11,2000,BP.L,0.181318074
218,16-02-2000,12.972,28.11,2000,CNE.L,0.00046831
219,16-02-2000,24.375101,28.11,2000,PMO.L,0.01075129
220,16-02-2000,37.130936,28.11,2000,STL.OL,0.060810855
221,16-02-2000,8.840703,28.11,2000,FP.PA,0.036193395
222,16-02-2000,9.986929,28.11,2000,REP.MC,0.389443719
223,16-02-2000,17.025801,28.11,2000,ENGI.PA,0.584742866
224,17-02-2000,237.217606,27.54,2000,BP.L,0.175472023
225,17-02-2000,13.387,27.54,2000,CNE.L,0.001332082
226,17-02-2000,24.375101,27.54,2000,PMO.L,0.01075129
227,17-02-2000,36.455833,27.54,2000,STL.OL,0.055752148
228,17-02-2000,8.797606,27.54,2000,FP.PA,0.035142091
229,17-02-2000,9.852489,27.54,2000,REP.MC,0.378415481
230,17-02-2000,17.249025,27.54,2000,ENGI.PA,0.595134158
231,18-02-2000,227.616501,27.26,2000,BP.L,0.145512159
232,18-02-2000,14.5,27.26,2000,CNE.L,0.003648655
233,18-02-2000,24.770861,27.26,2000,PMO.L,0.01154289
234,18-02-2000,35.668201,27.26,2000,STL.OL,0.049850234
235,18-02-2000,8.662166,27.26,2000,FP.PA,0.031838182
236,18-02-2000,9.674835,27.26,2000,REP.MC,0.363842358
237,18-02-2000,17.654884,27.26,2000,ENGI.PA,0.614027286
238,21-02-2000,219.420517,26.93,2000,BP.L,0.11993692
239,21-02-2000,14.5,26.93,2000,CNE.L,0.003648655
240,21-02-2000,25.365469,26.93,2000,PMO.L,0.012732226
241,21-02-2000,35.105618,26.93,2000,STL.OL,0.045634666
242,21-02-2000,8.378968,26.93,2000,FP.PA,0.024929879
243,21-02-2000,9.42036,26.93,2000,REP.MC,0.342967538
244,21-02-2000,17.573713,26.93,2000,ENGI.PA,0.610248698
245,22-02-2000,208.88266,27.22,2000,BP.L,0.087053959
246,22-02-2000,15.193,27.22,2000,CNE.L,0.00509105
247,22-02-2000,25.365469,27.22,2000,PMO.L,0.012732226
248,22-02-2000,34.711796,27.22,2000,STL.OL,0.042683664
249,22-02-2000,8.489785,27.22,2000,FP.PA,0.027633138
250,22-02-2000,9.233107,27.22,2000,REP.MC,0.327607
251,22-02-2000,17.279463,27.22,2000,ENGI.PA,0.596551076
